,Latitude,Longitude,Altitude
0,37.60592378477647,-122.43912058241207,1751.2155373208225
1,37.60583295873971,-122.43917030788538,1738.6504002064466
2,37.60581651285484,-122.43910585809051,1749.900895507075
3,37.60583273591089,-122.43917175152812,1733.7527028564364
4,37.60587056966939,-122.43921563774799,1720.6137872934341
5,37.60913793132679,-122.44089793232571,2953.2425133492798
6,37.605771136643334,-122.43916226784503,1724.7247263053432
7,37.60565793900003,-122.43908371181509,1750.262523420155
8,37.605567614371836,-122.43901296164842,1758.7683331714943
9,37.60900488628842,-122.4408196964257,3007.944503360428
10,37.605501796922944,-122.43902168366243,1747.1904762843624
11,37.60551272259864,-122.4390761605086,1740.6033648774028
12,37.60548488806505,-122.43906433007245,1740.5409988751635
13,37.60554324584688,-122.43906270527509,1736.5343891782686
14,37.605542191973626,-122.43906793226682,1732.764911705628
15,37.605485661945686,-122.43905355139744,1730.0453749494627
16,37.60546373274109,-122.43910983060445,1716.043704148382
17,37.60550224580068,-122.43917447450393,1693.334187394008
18,37.6091622905759,-122.44107798957079,3063.007620406337
19,37.60575626110236,-122.43939687714942,1646.2799452133477
20,37.6057345619476,-122.43940989785033,1637.3745692390949
21,37.605707289420465,-122.43941357229966,1643.5693321619183
22,37.60941979986028,-122.44132639273084,3034.397119320929
23,37.60942169793379,-122.44132709781182,3045.328230098821
24,37.60597516648876,-122.43902659442823,1780.751690001227
25,37.60597470228678,-122.43900723787782,1785.3558982536197
26,37.60594602913463,-122.4390533783798,1765.0206661866978
27,37.60971109702293,-122.44103648288903,3148.9108158992603
28,37.605937332367844,-122.43912603419572,1753.4521079389378
29,37.605888802704776,-122.43910250668061,1757.6880140965804
30,37.60594454931284,-122.43913081860869,1747.835106747225
31,37.606014991257446,-122.43920697189286,1729.9854291127995
32,37.60588410303818,-122.43916803272683,1742.194291939959
33,37.605994722745656,-122.43924590105763,1714.12879630737
34,37.605987308964785,-122.43927406108504,1712.1288054371253
35,37.605919138621694,-122.43925852172873,1704.7349506700411
36,37.60605524503062,-122.43906846507264,1783.0560741005465
37,37.60608663293212,-122.43913330216641,1765.5777154099196
38,37.606091761855254,-122.43914402907274,1755.9625550694764
39,37.60605831627017,-122.4391283791499,1754.5644115824252
40,37.6060130660499,-122.43911389917645,1750.1849674358964
41,37.6059945938397,-122.4390988515709,1745.1068494888023
42,37.606012775416076,-122.43914423430805,1739.4627372613177
43,37.60596542735239,-122.43912320045047,1740.857382548973
44,37.605963010978805,-122.43913806064462,1741.7138911178336
45,37.6059537646362,-122.43917381828449,1731.2559535671026
46,37.60593827881327,-122.43921952807982,1717.1380617190152
47,37.61013072207007,-122.44137434741337,3276.615260269493
48,37.605938492392106,-122.43925783828115,1712.3864582050592
49,37.60589079437941,-122.43924099413714,1704.486443951726
50,37.60585362119206,-122.43925299932083,1698.4681547917426
51,37.61019589258047,-122.4414498089571,3304.3523994497955
52,37.61031398899648,-122.44152797148905,3358.9408953059465
53,37.60589521451784,-122.43929168496915,1706.7153711365536
54,37.60590319789591,-122.4392915993987,1710.9929128978401
55,37.605900816559824,-122.43933997084171,1693.8078036159277
56,37.610549140430955,-122.44172498077698,3427.8168224263936
57,37.61052124798091,-122.44170948778245,3452.526125630364
58,37.60579171642534,-122.4392511959333,1701.0744107356295
59,37.60573904374511,-122.43919251754589,1697.0610739011317
60,37.60557060323606,-122.43899155736432,1719.5398712111637
61,37.61051611580935,-122.44146952409905,3523.277791099623
62,37.60566618541539,-122.43890917991976,1702.4951868075877
63,37.61091044993344,-122.44090908832852,3616.816363067366
64,37.60619814635293,-122.43838568359595,1853.9531001085415
65,37.606493888311505,-122.43827682886132,1858.4977209363133
66,37.6064923592689,-122.4381755518795,1865.1496886918321
67,37.61133673953413,-122.44061940268163,3695.323246887885
68,37.60631949581068,-122.43826484160441,1872.3545781597495
69,37.62673613799588,-122.42435184995891,70.5504356091842
70,37.606160467150495,-122.43827180116412,1897.014406698756
71,37.60626401695807,-122.43802470388326,1868.8526496104896
72,37.60621162182631,-122.4379887867133,1834.8681918447837
73,37.606316447574216,-122.43802252393779,1905.9378235349432
