collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2020-09-04-US-SF-2,Mi8,1283277569000,37.6265336083,-122.4256699967,72.45,155.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277570000,37.6265336083,-122.4256699967,72.45,156.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277571000,37.6265336083,-122.4256699967,72.45,157.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277572000,37.6265336083,-122.4256699967,72.45,158.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277573000,37.6265336083,-122.4256699967,72.45,159.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277574000,37.6265336083,-122.4256699967,72.45,160.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277575000,37.6265336083,-122.4256699967,72.45,161.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277576000,37.6265336083,-122.4256699967,72.45,162.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277577000,37.6265336083,-122.4256699967,72.45,163.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277578000,37.6265336083,-122.4256699967,72.45,164.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277579000,37.6265336083,-122.4256699967,72.45,165.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277580000,37.6265336083,-122.4256699967,72.45,166.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277581000,37.6265336083,-122.4256699967,72.45,167.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277582000,37.6265336083,-122.4256699967,72.45,168.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277583000,37.6265336083,-122.4256699967,72.45,169.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277584000,37.6265336083,-122.4256699967,72.45,170.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277585000,37.6265336083,-122.4256699967,72.45,171.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277586000,37.6265336100,-122.4256699967,72.45,172.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277587000,37.6265336100,-122.4256699967,72.45,173.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277588000,37.6265336083,-122.4256699967,72.45,174.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277589000,37.6265336083,-122.4256699967,72.45,175.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277590000,37.6265336083,-122.4256699967,72.45,176.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277591000,37.6265336100,-122.4256699967,72.45,177.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277592000,37.6265336100,-122.4256699967,72.45,178.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277593000,37.6265336083,-122.4256699967,72.45,179.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277594000,37.6265336083,-122.4256699967,72.45,180.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277595000,37.6265336100,-122.4256699967,72.45,181.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277596000,37.6265336100,-122.4256699967,72.45,182.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277597000,37.6265336100,-122.4256699967,72.45,183.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277598000,37.6265336100,-122.4256699967,72.45,184.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277599000,37.6265336100,-122.4256699967,72.45,185.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277600000,37.6265336100,-122.4256699967,72.45,186.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277601000,37.6265336083,-122.4256699967,72.45,187.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277602000,37.6265336083,-122.4256699967,72.45,188.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277603000,37.6265336083,-122.4256699967,72.45,189.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277604000,37.6265336083,-122.4256699967,72.45,190.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277605000,37.6265336083,-122.4256699967,72.45,191.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277606000,37.6265336083,-122.4256699967,72.45,192.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277607000,37.6265336083,-122.4256699967,72.45,193.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277608000,37.6265336083,-122.4256699967,72.45,194.00,1.20,0.00,0.00,83.60
2020-09-04-US-SF-2,Mi8,1283277609000,37.6265336083,-122.4256699967,72.45,195.00,1.20,0.00,0.00,83.60
